"Data Source","World Development Indicators",

"Last Updated Date","2021-09-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","7.4697475225","","","","2.2469637902","","4.3060758731","5.2636011454","4.1230312526","2.0254395204","5.9983204703","4.9588416146","2.9636654614","4.9328150589","3.9427512518","3.9344907294","1.9598236159","3.8999658753","5.8159259439","1.9272278754","","","","","","",
"Africa Eastern and Southern","AFE","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.1","","10.5","10.3","","","","","",
"Afghanistan","AFG","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.9267744953","3.3681096075","4.0873367236","6.2513281666","","","9.7839217823","6.5511634561","6.6784014409","6.6555611518","","",
"Africa Western and Central","AFW","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.3","","8.1","8.1","","","","","",
"Angola","AGO","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.3557855153","4.8470751765","","","","","","","","",
"Albania","ALB","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.0050685683","5.9777240582","3.5594902047","8.3201544015","8.7778774253","43.035770339","21.217096222","17.036538893","4.1863119742","7.0294254946","6.9093843834","5.3238965663","4.2191470044","4.9889691947","3.1015131793","3.4607858357","3.0972300439","2.8590226044","4.3079630492","4.8487315274","5.3876148686","4.2702841943","4.0396270147","2.214131417","2.7369477905","2.0109778588","2.2894924438","","",
"Andorra","AND","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.311578616","","","0","1.1924494103","0","0","1.1940155938","0","0","0","0","","","","","",
"Arab World","ARB","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.7","","4.2","3.8","","","","","",
"United Arab Emirates","ARE","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.2123070176","0.66362268675","1.2205163569","0.73582517699","","","","0.7836259143","0.57003761578","0.75479144893","0.61970613318","0.66202295548","0.64774558626","0.70505476192","0.4637824877","","","",
"Argentina","ARG","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.3942211703","9.4740840412","7.7898824786","6.0739941344","5.6514136093","5.3728853713","5.3900404903","5.9156451949","6.5262306799","5.8294564636","6.0768872165","6.341726925","7.2803050637","7.5707989313","6.5861232774","6.0333095226","5.2097151606","5.3244787387","","",
