Date,2020_total,2020_commercial
1/1/20,144067,97332
1/2/20,175861,113603
1/3/20,175444,117059
1/4/20,165733,108566
1/5/20,172605,110585
1/6/20,184566,114634
1/7/20,183328,113120
1/8/20,179306,111921
1/9/20,185552,115315
1/10/20,183890,117523
1/11/20,154564,101804
1/12/20,161515,105043
1/13/20,171632,112827
1/14/20,173162,111118
1/15/20,187297,113468
1/16/20,187023,116101
1/17/20,188157,118166
1/18/20,161254,102580
1/19/20,165794,104487
1/20/20,189099,114237
1/21/20,190867,114029
1/22/20,184248,113739
1/23/20,189810,116682
1/24/20,189551,116092
1/25/20,162301,101054
1/26/20,164267,104232
1/27/20,176736,111541
1/28/20,178310,109218
1/29/20,184425,109380
1/30/20,186239,111720
1/31/20,184949,112625
2/1/20,154067,96729
2/2/20,158666,97348
2/3/20,179441,105145
2/4/20,170708,102355
2/5/20,174865,103257
2/6/20,171934,104450
2/7/20,181611,106693
2/8/20,169881,94955
2/9/20,152651,92966
2/10/20,159472,100456
2/11/20,161819,100490
2/12/20,176204,102317
2/13/20,176585,104892
2/14/20,192613,109400
2/15/20,169293,94885
2/16/20,157345,94042
2/17/20,173785,101389
2/18/20,172208,102167
2/19/20,183938,105160
2/20/20,183430,106132
2/21/20,196756,109334
2/22/20,175274,95989
2/23/20,166252,96973
2/24/20,173788,103057
2/25/20,172456,102950
2/26/20,173708,104989
2/27/20,186942,107084
2/28/20,194125,109732
2/29/20,167470,100050
3/1/20,172689,105611
3/2/20,176892,104630
3/3/20,182378,105430
3/4/20,188674,107758
3/5/20,188587,109212
3/6/20,168507,95221
3/7/20,171187,98866
3/8/20,175350,101977
3/9/20,171193,100099
3/10/20,181341,101682
3/11/20,179920,102027
3/12/20,171961,102669
3/13/20,155729,89302
3/14/20,153521,90265
3/15/20,157293,91831
3/16/20,148325,85979
3/17/20,144330,81309
3/18/20,132135,77201
3/19/20,129138,75025
3/20/20,115564,61749
3/21/20,102181,56862
3/22/20,95227,53897
3/23/20,98539,52726
3/24/20,94477,47745
3/25/20,96970,46069
3/26/20,89276,43778
3/27/20,69508,36491
3/28/20,64522,34594
3/29/20,74295,35726
3/30/20,77465,37925
3/31/20,80431,37353
4/1/20,76022,34487
4/2/20,72785,34674
4/3/20,61570,27209
4/4/20,57065,26774
4/5/20,67420,30477
4/6/20,73157,32221
4/7/20,74591,32659
4/8/20,68623,31703
4/9/20,68188,30129
4/10/20,62592,24980
4/11/20,46294,23926
4/12/20,54214,25969
4/13/20,71808,30154
4/14/20,74953,30764
4/15/20,75216,30275
4/16/20,72081,30305
