,Organization,Organization_URL,Industries,Headquarters,Description,Year,Founded_Date,Website,Latitude,Longitude
0,Open,https://www.crunchbase.com/organization/open-5,"Banking, Financial Services, FinTech, SaaS, Small and Medium Businesses","Bangalore, Karnataka, India",Open is a neo-banking platform for SMEs and startups that enables businesses to manage their finances effectively.,2017,01/05/2017,https://open.money,12.966180000000065,77.58690000000007
1,Rapido,https://www.crunchbase.com/organization/rapido,"Information Services, Logistics, Mobile Apps, Taxi Service, Transportation","Bangalore, Karnataka, India",Rapido is an online app and logistics provider that offers bike taxis to its users.,2015,01/01/2015,https://www.rapido.bike,12.966180000000065,77.58690000000007
2,Ather Energy,https://www.crunchbase.com/organization/ather-energy,"Automotive, Clean Energy, Electric Vehicle, Manufacturing","Bangalore, Karnataka, India",Ather Energy operates as a manufacturer of electric scooters.,2013,01/01/2013,http://www.atherenergy.com,12.984380000000044,77.74203000000006
3,PhableCare,https://www.crunchbase.com/organization/phable,"Health Care, Mobile Apps, Personal Health, Wellness","Bangalore, Karnataka, India",PhableCare creates an ecosystem of health care providers to manage chronic diseases.,2017,10/10/2017,https://phablecare.com,12.966180000000065,77.58690000000007
4,Vedantu,https://www.crunchbase.com/organization/vedantu-innovations,"E-Learning, EdTech, Education, Tutoring","Bangalore, Karnataka, India",Vedantu is an interactive online tutoring platform for students.,2011,29/10/2011,http://www.vedantu.com/,12.919700000000034,77.67112000000003
5,Toplyne,https://www.crunchbase.com/organization/toplyne,"Business Intelligence, SaaS, Sales, Subscription Service","Bangalore, Karnataka, India",Toplyne is a SaaS platform that helps businesses and companies to monetize their product-led growth flywheel.,2021,01/06/2021,https://www.toplyne.io,12.935510000000022,77.58144000000004
6,Ayu Health,https://www.crunchbase.com/organization/ayu-health,"Health Care, Hospital, Medical","Bangalore, Karnataka, India",Ayu Health is a network of hospitals that offers quality healthcare to the general public.,2019,01/01/2019,https://ayu.health/,12.966180000000065,77.58690000000007
7,ITILITE,https://www.crunchbase.com/organization/itilite,"Business Travel, Information Technology, Internet, Travel","Bangalore, Karnataka, India",ITILITE is a digital travel management platform that simplifies the travel booking process.,2017,01/01/2017,http://www.itilite.com/,12.966180000000065,77.58690000000007
8,Bounce,https://www.crunchbase.com/organization/metro-bikes,"Last Mile Transportation, Recreational Vehicles, Rental, Ride Sharing","Bangalore, Karnataka, India",Bounce develops and provides a smart mobility solution that makes daily commute time-saving and stress-free.,2014,01/01/2014,https://bounceshare.com,12.937910000000045,77.62379000000004
9,Porter,https://www.crunchbase.com/organization/the-porter,"Fleet Management, Internet, Last Mile Transportation, Logistics","Bangalore, Karnataka, India",Porter is an end-to-end logistics platform designed to help businesses optimize their last-mile delivery operations.,2014,01/08/2014,https://porter.in,12.957880000000046,77.57755000000003
