,State name,District name,Population,Literate,Male_Literate,Female_Literate,Households_with_Internet,Rural_Households,Urban_Households,Households,Workers,Male_Workers,Female_Workers,literacy_rate,internet_rate,rural_rate,urban_rate,activity_rate,female_activity,male_activity,male_literate,female_literate
0,JAMMU AND KASHMIR,Kupwara,870354,439654,282823,156831,762,158438,23226,181664,229064,190899,38165,50.51438839828391,0.41945569843227054,87.2148581997534,12.78514180024661,26.318486500895037,16.661282436349666,83.33871756365033,64.32854017022477,35.67145982977523
1,JAMMU AND KASHMIR,Badgam,753745,335649,207741,127908,1999,160649,27190,187839,214866,162578,52288,44.53084265898944,1.0642092430219496,85.5248377599966,14.475162240003407,28.506457754280294,24.33516703433768,75.66483296566233,61.89233395600762,38.10766604399238
2,JAMMU AND KASHMIR,Leh(Ladakh),133487,93770,62834,30936,574,36920,17474,54394,75079,53265,21814,70.24654086165694,1.055263448174431,67.87513328675956,32.12486671324043,56.24442829638841,29.0547290187669,70.9452709812331,67.00863815719313,32.99136184280687
3,JAMMU AND KASHMIR,Kargil,140802,86236,56301,29935,235,40370,7774,48144,51873,39839,12034,61.246289115211425,0.488118976404121,83.85260884014623,16.147391159853772,36.84109600715899,23.198966707150156,76.80103329284984,65.28711906860244,34.712880931397564
4,JAMMU AND KASHMIR,Punch,476835,261724,163333,98391,346,132139,15269,147408,161393,117677,43716,54.88774943114495,0.23472267448171064,89.64167480733745,10.35832519266254,33.84671846655552,27.086676621662647,72.91332337833735,62.4065809784353,37.5934190215647
5,JAMMU AND KASHMIR,Rajouri,642415,364109,224469,139640,673,196070,17508,213578,290912,184752,106160,56.678159756543664,0.31510736124507205,91.80252647744618,8.197473522553821,45.28412319139497,36.49213507864921,63.50786492135079,61.64884691122713,38.35115308877287
6,JAMMU AND KASHMIR,Kathua,616435,389204,228499,160705,1443,181374,33473,214847,200431,161548,38883,63.1378815284661,0.6716407489981243,84.42007568176423,15.579924318235769,32.51453924582478,19.399693660162352,80.60030633983764,58.70931439553551,41.29068560446449
7,JAMMU AND KASHMIR,Baramula,1008039,545149,337170,207979,3698,210543,48932,259475,304200,249581,54619,54.080149676748626,1.4251854706619134,81.14192118701223,18.858078812987763,30.17740385044626,17.954963839579225,82.04503616042078,61.849145829855686,38.150854170144314
8,JAMMU AND KASHMIR,Bandipore,392232,185979,117058,68921,985,80521,17555,98076,149317,101380,47937,47.41556017866977,1.0043231779436355,82.10061584893347,17.89938415106652,38.068541067531456,32.10418103765814,67.89581896234186,62.94151490222014,37.05848509777986
9,JAMMU AND KASHMIR,Srinagar,1236829,748584,431746,316838,16413,4518,257721,262239,407188,333151,74037,60.52445406761969,6.258794458490156,1.7228558681203026,98.2771441318797,32.92193181110727,18.182510290087134,81.81748970991286,57.67502377822663,42.324976221773376
10,JAMMU AND KASHMIR,Ganderbal,297446,143276,90581,52695,878,63788,13558,77346,100890,73305,27585,48.168743234066014,1.1351588963876607,82.47097458174954,17.52902541825046,33.91876172481727,27.34165923282783,72.65834076717216,63.221335045646164,36.778664954353836
11,JAMMU AND KASHMIR,Pulwama,560440,293958,178326,115632,1537,147520,21703,169223,188420,138428,49992,52.451288273499394,0.9082689705300107,87.1749112118329,12.825088788167093,33.62001284704875,26.532215263772425,73.46778473622759,60.663768293429676,39.336231706570324
12,JAMMU AND KASHMIR,Shupiyan,266215,136500,80355,56145,884,75616,5272,80888,87721,63931,23790,51.27434592340777,1.0928691524082683,93.48234595984572,6.517654040154287,32.95118607140845,27.120073870566912,72.87992612943309,58.86813186813187,41.13186813186813
13,JAMMU AND KASHMIR,Anantnag,1078692,545532,324417,221115,2712,207067,70666,277733,389684,244032,145652,50.57347231647217,0.9764774081581952,74.55613844951806,25.443861550481937,36.12560397221821,37.37695158128124,62.62304841871875,59.46800554321287,40.53199445678713
14,JAMMU AND KASHMIR,Kulgam,424483,209085,125052,84033,838,95952,25178,121130,159990,102317,57673,49.25638953739019,0.6918187071741104,79.21406753075209,20.785932469247914,37.69055533437146,36.047877992374524,63.952122007625476,59.80916851997991,40.19083148002009
15,JAMMU AND KASHMIR,Doda,409936,219083,138620,80463,596,122267,11350,133617,151912,101144,50768,53.443220405136415,0.4460510264412462,91.5055718957917,8.494428104208298,37.057491901174814,33.41934804360419,66.58065195639581,63.27282354176271,36.72717645823729
16,JAMMU AND KASHMIR,Ramban,283713,124065,82938,41127,417,84281,5341,89622,87212,68476,18736,43.72905013164712,0.4652875410055567,94.04052576376336,5.959474236236638,30.739514932343603,21.483282117139844,78.51671788286015,66.85044130093097,33.14955869906904
17,JAMMU AND KASHMIR,Kishtwar,230696,107506,68700,38806,274,72378,5993,78371,82974,56779,26195,46.60072129555779,0.34961911931709433,92.35303875157904,7.646961248420972,35.96681346880744,31.570130402294694,68.4298695977053,63.9034100422302,36.0965899577698
18,JAMMU AND KASHMIR,Udhampur,554985,322354,197543,124811,1214,148664,34696,183360,243672,163845,79827,58.083371622656465,0.662085514834206,81.07766143106457,18.922338568935427,43.90605151490581,32.76002166847237,67.23997833152762,61.2813863020158,38.7186136979842
19,JAMMU AND KASHMIR,Reasi,314667,150542,93937,56605,602,95572,12261,107833,144767,88755,56012,47.84168660838283,0.5582706592601522,88.62964027709513,11.370359722904862,46.00641312879965,38.69113817375507,61.30886182624493,62.399197566127725,37.600802433872275
20,JAMMU AND KASHMIR,Jammu,1529958,1137135,641916,495219,19905,254566,248043,502609,508622,417456,91166,74.32458930245144,3.9603349721155015,50.6489139669206,49.3510860330794,33.24418055920489,17.924116534479438,82.07588346552056,56.4502895434579,43.5497104565421
21,JAMMU AND KASHMIR,Samba,318898,228139,130312,97827,992,94247,19989,114236,92526,81952,10574,71.53980269553274,0.8683777443187787,82.50201337581848,17.497986624181518,29.014292971420332,11.428139117653416,88.57186088234658,57.119563073389465,42.880436926610535
22,HIMACHAL PRADESH,Chamba,519080,323842,186064,137778,1615,186395,13836,200231,294035,158791,135244,62.3876859058334,0.8065684134824278,93.089981071862,6.910018928138001,56.64541111196733,45.99588484364106,54.004115156358935,57.4551787600126,42.5448212399874
23,HIMACHAL PRADESH,Kangra,1510075,1152640,606443,546197,8053,588321,39007,627328,675170,403756,271414,76.32998361008559,1.2836984799020608,93.78204065496837,6.217959345031626,44.71102428687317,40.19935719892768,59.80064280107232,52.61339186563021,47.386608134369794
24,HIMACHAL PRADESH,Lahul AND Spiti,31564,21845,12897,8948,61,17434,0,17434,19295,10763,8532,69.20859206691166,0.34989101755191004,100.0,0.0,61.129768090229376,44.21870951023581,55.78129048976419,59.03868162050813,40.96131837949187
25,HIMACHAL PRADESH,Kullu,437903,307672,174550,133122,2623,167995,20709,188704,269084,148829,120255,70.26030878984615,1.390007630998813,89.02566983211803,10.974330167881973,61.44831161238905,44.690505567034826,55.30949443296517,56.73249434462675,43.267505655373256
