"title","speaker","lines"
"Alexander Hamilton","BURR","How does a bastard, orphan, son of a whore and a"
"Alexander Hamilton","BURR","Scotsman, dropped in the middle of a forgotten"
"Alexander Hamilton","BURR","Spot in the Caribbean by providence, impoverished, in squalor"
"Alexander Hamilton","BURR","Grow up to be a hero and a scholar?"
"Alexander Hamilton","LAURENS","The ten-dollar Founding Father without a father"
"Alexander Hamilton","LAURENS","Got a lot farther by working a lot harder"
"Alexander Hamilton","LAURENS","By being a lot smarter"
"Alexander Hamilton","LAURENS","By being a self-starter"
"Alexander Hamilton","LAURENS","By fourteen, they placed him in charge of a trading charter"
"Alexander Hamilton","JEFFERSON","And every day while slaves were being slaughtered and carted"
"Alexander Hamilton","JEFFERSON","Away across the waves, he struggled and kept his guard up"
"Alexander Hamilton","JEFFERSON","Inside, he was longing for something to be a part of"
"Alexander Hamilton","JEFFERSON","The brother was ready to beg, steal, borrow, or barter"
"Alexander Hamilton","MADISON","Then a hurricane came, and devastation reigned"
"Alexander Hamilton","MADISON","Our man saw his future drip, dripping down the drain"
"Alexander Hamilton","MADISON","Put a pencil to his temple, connected it to his brain"
"Alexander Hamilton","MADISON","And he wrote his first refrain, a testament to his pain"
"Alexander Hamilton","BURR","Well, the word got around, they said,"
"Alexander Hamilton","BURR","""This kid is insane, man"""
"Alexander Hamilton","BURR","Took up a collection just to send him to the mainland"
"Alexander Hamilton","BURR","""Get your education, don't forget from whence you came, and"
"Alexander Hamilton","BURR","The world's gonna know your name. What's your name, man?"""
"Alexander Hamilton","HAMILTON","Alexander Hamilton"
"Alexander Hamilton","HAMILTON","My name is Alexander Hamilton"
"Alexander Hamilton","HAMILTON","And there's a million things I haven't done"
"Alexander Hamilton","HAMILTON","But just you wait, just you wait..."
"Alexander Hamilton","ELIZA","When he was ten his father split, full of it, debt-ridden"
"Alexander Hamilton","ELIZA","Two years later, see Alex and his mother bed-ridden"
"Alexander Hamilton","ELIZA","Half-dead sittin' in their own sick, the scent thick"
"Alexander Hamilton","FULL COMPANY EXCEPT HAMILTON (whispering)","And Alex got better but his mother went quick"
"Alexander Hamilton","WASHINGTON","Moved in with a cousin, the cousin committed suicide"
"Alexander Hamilton","WASHINGTON","Left him with nothin' but ruined pride, something new inside"
"Alexander Hamilton","WASHINGTON","A voice saying"
"Alexander Hamilton","WASHINGTON","""Alex, you gotta fend for yourself."""
"Alexander Hamilton","WASHINGTON","He started retreatin' and readin' every treatise on the shelf"
"Alexander Hamilton","BURR","There would have been nothin' left to do"
"Alexander Hamilton","BURR","For someone less astute"
"Alexander Hamilton","BURR","He woulda been dead or destitute"
"Alexander Hamilton","BURR","Without a cent of restitution"
"Alexander Hamilton","BURR","Started workin', clerkin' for his late mother's landlord"
"Alexander Hamilton","BURR","Tradin' sugar cane and rum and all the things he can't afford"
"Alexander Hamilton","BURR","Scammin' for every book he can get his hands on"
"Alexander Hamilton","BURR","Plannin' for the future see him now as he stands on "
"Alexander Hamilton","COMPANY","ooh"
"Alexander Hamilton","BURR","The bow of a ship headed for a new land"
"Alexander Hamilton","BURR","In New York you can be a new man"
"Alexander Hamilton","COMPANY","In New York you can be a new man "
"Alexander Hamilton","HAMILTON","Just you wait"
"Alexander Hamilton","COMPANY","In New York you can be a new man "
"Alexander Hamilton","HAMILTON","Just you wait"
"Alexander Hamilton","COMPANY","In New York you can be a new man"
"Alexander Hamilton","HAMILTON","In New York, New York"
"Alexander Hamilton","HAMILTON","Just you wait!"
"Alexander Hamilton","COMPANY","Alexander Hamilton "
"Alexander Hamilton","COMPANY","Alexander Hamilton"
"Alexander Hamilton","COMPANY","We are waiting in the wings for you "
"Alexander Hamilton","COMPANY","waiting in the wings for you"
"Alexander Hamilton","COMPANY","You could never back down"
"Alexander Hamilton","COMPANY","You never learned to take your time!"
"Alexander Hamilton","COMPANY","Oh, Alexander Hamilton "
"Alexander Hamilton","COMPANY","Alexander Hamilton"
"Alexander Hamilton","COMPANY","When America sings for you"
"Alexander Hamilton","COMPANY","Will they know what you overcame?"
"Alexander Hamilton","COMPANY","Will they know you rewrote the game?"
"Alexander Hamilton","COMPANY","The world will never be the same, oh"
"Alexander Hamilton","BURR","The ship is in the harbor now"
"Alexander Hamilton","BURR","See if you can spot him"
"Alexander Hamilton","MEN","Just you wait"
"Alexander Hamilton","BURR","Another immigrant"
"Alexander Hamilton","BURR","Comin' up from the bottom"
"Alexander Hamilton","COMPANY","Just you wait"
"Alexander Hamilton","BURR","His enemies destroyed his rep"
"Alexander Hamilton","BURR","America forgot him"
"Alexander Hamilton","MULLIGAN/MADISON & LAFAYETTE/JEFFERSON","We fought with him"
"Alexander Hamilton","LAURENS/PHILIP","Me? I died for him"
"Alexander Hamilton","WASHINGTON","Me? I trusted him"
"Alexander Hamilton","ELIZA & ANGELICA & PEGGY/MARIA","Me? I loved him"
"Alexander Hamilton","BURR","And me? I'm the damn fool that shot him"
"Alexander Hamilton","COMPANY","There's a million things I haven't done"
"Alexander Hamilton","COMPANY","But just you wait!"
"Alexander Hamilton","BURR","What's your name, man?"
"Alexander Hamilton","COMPANY","Alexander Hamilton!"
"Aaron Burr, Sir","COMPANY","1776. New York City"
"Aaron Burr, Sir","HAMILTON","Pardon me. Are you Aaron Burr, sir?"
"Aaron Burr, Sir","BURR","That depends. Who's asking?"
"Aaron Burr, Sir","HAMILTON","Oh, well, sure, sir"
"Aaron Burr, Sir","HAMILTON","I'm Alexander Hamilton, I'm at your service, sir"
"Aaron Burr, Sir","HAMILTON","I have been looking for you"
"Aaron Burr, Sir","BURR","I'm getting nervous"
"Aaron Burr, Sir","HAMILTON","Sir..."
"Aaron Burr, Sir","HAMILTON","I heard your name at Princeton. I was seeking an accelerated course of study when I got sort of out of sorts with a buddy of yours. I may have punched him. It's a blur, sir. He handles the financials?"
"Aaron Burr, Sir","BURR","You punched the bursar"
"Aaron Burr, Sir","HAMILTON","Yes!"
"Aaron Burr, Sir","HAMILTON","I wanted to do what you did. Graduate in two, then join the revolution. He looked at me like I was stupid, I'm not stupid"
"Aaron Burr, Sir","HAMILTON","So how'd you do it? How'd you graduate so fast?"
"Aaron Burr, Sir","BURR","It was my parents' dying wish before they passed"
"Aaron Burr, Sir","HAMILTON","You're an orphan. Of course! I'm an orphan"
"Aaron Burr, Sir","HAMILTON","God, I wish there was a war!"
"Aaron Burr, Sir","HAMILTON","Then we could prove that we're worth more"
"Aaron Burr, Sir","HAMILTON","Than anyone bargained for..."
"Aaron Burr, Sir","BURR","Can I buy you a drink?"
"Aaron Burr, Sir","HAMILTON","That would be nice"
"Aaron Burr, Sir","BURR","While we're talking, let me offer you some free advice"
"Aaron Burr, Sir","BURR","Talk less"
"Aaron Burr, Sir","HAMILTON","What?"
"Aaron Burr, Sir","BURR","Smile more"
"Aaron Burr, Sir","HAMILTON","Ha"
"Aaron Burr, Sir","BURR","Don't let them know what you're against or what you're for"
"Aaron Burr, Sir","HAMILTON","You can't be serious"
"Aaron Burr, Sir","BURR","You wanna get ahead?"
"Aaron Burr, Sir","HAMILTON","Yes"
"Aaron Burr, Sir","BURR","Fools who run their mouths off wind up dead"
"Aaron Burr, Sir","LAURENS","Yo yo yo yo yo!"
"Aaron Burr, Sir","LAURENS","What time is it?"
"Aaron Burr, Sir","LAFAYETTE/LAURENS/MULLIGAN","Show time!"
"Aaron Burr, Sir","BURR","Like I said..."
"Aaron Burr, Sir","LAURENS","Show time! Show time! Yo!"
"Aaron Burr, Sir","LAURENS","I'm John Laurens in the place to be!"
"Aaron Burr, Sir","LAURENS","Two pints o' Sam Adams, but I'm workin' on three, uh!"
"Aaron Burr, Sir","LAURENS","Those redcoats don't want it with me!"
