District code,State name,District name,Population,Male,Female,Literate,Male_Literate,Female_Literate,Workers,Male_Workers,Female_Workers,Households_with_Internet,Rural_Households,Urban_Households,Households
1,JAMMU AND KASHMIR,Kupwara,870354,474190,396164,439654,282823,156831,229064,190899,38165,762,158438,23226,181664
2,JAMMU AND KASHMIR,Badgam,753745,398041,355704,335649,207741,127908,214866,162578,52288,1999,160649,27190,187839
3,JAMMU AND KASHMIR,Leh(Ladakh),133487,78971,54516,93770,62834,30936,75079,53265,21814,574,36920,17474,54394
4,JAMMU AND KASHMIR,Kargil,140802,77785,63017,86236,56301,29935,51873,39839,12034,235,40370,7774,48144
5,JAMMU AND KASHMIR,Punch,476835,251899,224936,261724,163333,98391,161393,117677,43716,346,132139,15269,147408
6,JAMMU AND KASHMIR,Rajouri,642415,345351,297064,364109,224469,139640,290912,184752,106160,673,196070,17508,213578
7,JAMMU AND KASHMIR,Kathua,616435,326109,290326,389204,228499,160705,200431,161548,38883,1443,181374,33473,214847
8,JAMMU AND KASHMIR,Baramula,1008039,534733,473306,545149,337170,207979,304200,249581,54619,3698,210543,48932,259475
9,JAMMU AND KASHMIR,Bandipore,392232,207680,184552,185979,117058,68921,149317,101380,47937,985,80521,17555,98076
10,JAMMU AND KASHMIR,Srinagar,1236829,651124,585705,748584,431746,316838,407188,333151,74037,16413,4518,257721,262239
11,JAMMU AND KASHMIR,Ganderbal,297446,158720,138726,143276,90581,52695,100890,73305,27585,878,63788,13558,77346
12,JAMMU AND KASHMIR,Pulwama,560440,293064,267376,293958,178326,115632,188420,138428,49992,1537,147520,21703,169223
13,JAMMU AND KASHMIR,Shupiyan,266215,136480,129735,136500,80355,56145,87721,63931,23790,884,75616,5272,80888
14,JAMMU AND KASHMIR,Anantnag,1078692,559767,518925,545532,324417,221115,389684,244032,145652,2712,207067,70666,277733
15,JAMMU AND KASHMIR,Kulgam,424483,217620,206863,209085,125052,84033,159990,102317,57673,838,95952,25178,121130
16,JAMMU AND KASHMIR,Doda,409936,213641,196295,219083,138620,80463,151912,101144,50768,596,122267,11350,133617
17,JAMMU AND KASHMIR,Ramban,283713,149132,134581,124065,82938,41127,87212,68476,18736,417,84281,5341,89622
18,JAMMU AND KASHMIR,Kishtwar,230696,120165,110531,107506,68700,38806,82974,56779,26195,274,72378,5993,78371
19,JAMMU AND KASHMIR,Udhampur,554985,296784,258201,322354,197543,124811,243672,163845,79827,1214,148664,34696,183360
20,JAMMU AND KASHMIR,Reasi,314667,166461,148206,150542,93937,56605,144767,88755,56012,602,95572,12261,107833
21,JAMMU AND KASHMIR,Jammu,1529958,813821,716137,1137135,641916,495219,508622,417456,91166,19905,254566,248043,502609
22,JAMMU AND KASHMIR,Samba,318898,169124,149774,228139,130312,97827,92526,81952,10574,992,94247,19989,114236
23,HIMACHAL PRADESH,Chamba,519080,261320,257760,323842,186064,137778,294035,158791,135244,1615,186395,13836,200231
24,HIMACHAL PRADESH,Kangra,1510075,750591,759484,1152640,606443,546197,675170,403756,271414,8053,588321,39007,627328
25,HIMACHAL PRADESH,Lahul AND Spiti,31564,16588,14976,21845,12897,8948,19295,10763,8532,61,17434,0,17434
26,HIMACHAL PRADESH,Kullu,437903,225452,212451,307672,174550,133122,269084,148829,120255,2623,167995,20709,188704
27,HIMACHAL PRADESH,Mandi,999777,498065,501712,723747,393669,330078,572671,297464,275207,5333,431129,31696,462825
28,HIMACHAL PRADESH,Hamirpur,454768,217070,237698,358091,180555,177536,241931,118724,123207,2521,196116,15232,211348
29,HIMACHAL PRADESH,Una,521173,263692,257481,399715,213281,186434,215346,141612,73734,2412,185091,20126,205217
30,HIMACHAL PRADESH,Bilaspur,381956,192764,189192,287620,155599,132021,205871,111543,94328,1574,152458,11987,164445
31,HIMACHAL PRADESH,Solan,580320,308754,271566,428578,244372,184206,298737,190001,108736,5250,192787,51509,244296
32,HIMACHAL PRADESH,Sirmaur,529855,276289,253566,362645,205617,157028,280083,169399,110684,2220,171102,21054,192156
33,HIMACHAL PRADESH,Shimla,814010,425039,388971,612642,342846,269796,430926,258628,172298,9177,279269,95896,375165
34,HIMACHAL PRADESH,Kinnaur,84121,46249,37872,60699,36697,24002,56273,33863,22410,354,44514,0,44514
35,PUNJAB,Gurdaspur,2298323,1212617,1085706,1634719,907660,727059,757138,637652,119486,14428,420860,185488,606348
36,PUNJAB,Kapurthala,815168,426311,388857,576567,316254,260313,284165,235562,48603,9732,165433,95770,261203
37,PUNJAB,Jalandhar,2193590,1145211,1048379,1622537,882581,739956,774472,639484,134988,39082,330339,377791,708130
38,PUNJAB,Hoshiarpur,1586625,809057,777568,1199699,637927,561772,499822,412506,87316,13747,422673,128592,551265
39,PUNJAB,Shahid Bhagat Singh Nagar,612310,313291,299019,438459,239155,199304,204329,170252,34077,5264,183168,48383,231551
40,PUNJAB,Fatehgarh Sahib,600163,320795,279368,426033,238696,187337,214783,182777,32006,5138,117559,57337,174896
41,PUNJAB,Ludhiana,3498739,1867816,1630923,2560225,1428348,1131877,1284822,1053600,231222,58589,395032,641789,1036821
42,PUNJAB,Moga,995746,525920,469826,627889,348549,279340,359172,292379,66793,7897,214295,74144,288439
43,PUNJAB,Firozpur,2029074,1071637,957437,1227511,707070,520441,756695,596406,160289,10042,348522,153868,502390
44,PUNJAB,Muktsar,901896,475622,426274,524848,300401,224447,335326,272699,62627,4571,149507,74650,224157
45,PUNJAB,Faridkot,617508,326671,290837,381285,215767,165518,221555,185049,36506,4348,99946,58917,158863
46,PUNJAB,Bathinda,1388525,743197,645328,844868,488261,356607,549986,432988,116998,11284,218159,137563,355722
47,PUNJAB,Mansa,769751,408732,361019,423560,244037,179523,328512,230739,97773,2673,145603,50786,196389
48,PUNJAB,Patiala,1895686,1002522,893164,1266791,711052,555739,660267,549661,110606,24274,299279,218090,517369
49,PUNJAB,Amritsar,2490656,1318408,1172248,1684770,932981,751789,917856,735195,182661,29961,275477,385476,660953
50,PUNJAB,Tarn Taran,1119627,589369,530258,666162,376427,289735,380702,313639,67063,4300,222717,44457,267174
51,PUNJAB,Rupnagar,684627,357485,327142,502731,278534,224197,233676,186910,46766,6600,148162,60537,208699
52,PUNJAB,Sahibzada Ajit Singh Nagar,994628,529253,465375,736575,409944,326631,355995,283367,72628,25944,117293,174042,291335
53,PUNJAB,Sangrur,1655169,878029,777140,1002077,570413,431664,568758,485129,83629,10736,292156,156788,448944
54,PUNJAB,Barnala,595527,317522,278005,359831,201999,157832,209331,178163,31168,3501,102577,54222,156799
55,CHANDIGARH,Chandigarh,1055450,580663,474787,805438,465346,340092,404136,328159,75977,44283,8911,289456,298367
56,UTTARAKHAND,Uttarkashi,330086,168597,161489,215126,128237,86889,157276,84265,73011,602,112148,9061,121209
57,UTTARAKHAND,Chamoli,391605,193991,197614,280556,155395,125161,180940,93832,87108,899,163434,22906,186340
58,UTTARAKHAND,Rudraprayag,242285,114589,127696,170933,91803,79130,113032,52339,60693,418,112705,4454,117159
59,UTTARAKHAND,Tehri Garhwal,618931,297986,320945,407994,227406,180588,280442,140821,139621,1366,227059,27177,254236
60,UTTARAKHAND,Dehradun,1696694,892199,804495,1259506,702216,557290,582768,458834,123934,25862,228245,269393,497638
61,UTTARAKHAND,Garhwal,687271,326829,360442,494889,262148,232741,274152,147373,126779,2633,279682,36780,316462
62,UTTARAKHAND,Pithoragarh,483439,239306,244133,345550,189623,155927,216490,113539,102951,1344,183687,26256,209943
63,UTTARAKHAND,Bageshwar,259898,124326,135572,179483,97546,81937,123638,58708,64930,435,96031,3880,99911
64,UTTARAKHAND,Almora,622506,291081,331425,436497,231604,204893,298211,142460,155751,1830,260056,21082,281138
65,UTTARAKHAND,Champawat,259648,131125,128523,177726,102015,75711,99566,60427,39139,548,85202,12839,98041
66,UTTARAKHAND,Nainital,954605,493666,460939,696500,385779,310721,376181,256935,119246,7265,193086,105577,298663
67,UTTARAKHAND,Udham Singh Nagar,1648902,858783,790119,1037839,598525,439314,591458,444578,146880,7883,269406,145253,414659
68,UTTARAKHAND,Hardwar,1890422,1005295,885127,1178354,691411,486943,578121,497810,80311,11947,301828,186183,488011
69,HARYANA,Panchkula,561293,299679,261614,405318,229862,175456,211479,164865,46614,18615,70895,93656,164551
70,HARYANA,Ambala,1128350,598703,529647,818025,461288,356737,372139,320120,52019,12899,175365,139891,315256
71,HARYANA,Yamunanagar,1214205,646718,567487,832457,474793,357664,389233,342343,46890,8079,214464,143259,357723
72,HARYANA,Kurukshetra,964655,510976,453679,646893,370828,276065,336780,268556,68224,7356,203553,88268,291821
73,HARYANA,Kaithal,1074304,571003,503301,646529,385782,260747,373899,292696,81203,3724,231091,75696,306787
74,HARYANA,Karnal,1505324,797712,707612,978013,564516,413497,516062,411646,104416,11163,292682,135920,428602
75,HARYANA,Panipat,1205437,646857,558580,786599,464136,322463,412318,328667,83651,10024,173502,153804,327306
76,HARYANA,Sonipat,1450001,781299,668702,998316,589881,408435,523179,391085,132094,9029,283858,133576,417434
77,HARYANA,Jind,1334152,713006,621146,832758,502049,330709,523422,368277,155145,5263,278335,89665,368000
78,HARYANA,Fatehabad,942011,495360,446651,557578,327471,230107,369083,263498,105585,3210,203020,55360,258380
79,HARYANA,Sirsa,1295189,682582,612607,782897,456968,325929,502003,369462,132541,6287,245476,93316,338792
80,HARYANA,Hisar,1743931,931562,812369,1114311,670200,444111,691621,488321,203300,10132,302013,154113,456126
81,HARYANA,Bhiwani,1634445,866672,767773,1069871,643158,426713,623006,430678,192328,5292,357047,99235,456282
82,HARYANA,Rohtak,1061204,568479,492725,747582,436025,311557,345967,272646,73321,8482,175203,131739,306942
83,HARYANA,Jhajjar,958405,514667,443738,676091,399480,276611,326534,250020,76514,5034,211816,78328,290144
84,HARYANA,Mahendragarh,922088,486665,435423,630255,380440,249815,338584,232935,105649,2624,223726,44216,267942
85,HARYANA,Rewari,900332,474335,425997,636947,375453,261494,337727,235326,102401,5121,199449,69305,268754
86,HARYANA,Gurgaon,1514432,816690,697742,1111116,638666,472450,544716,432456,112260,67087,141703,381988,523691
87,HARYANA,Mewat,1089263,571162,518101,454897,308435,146462,289964,224642,65322,935,187398,36237,223635
88,HARYANA,Faridabad,1809733,966110,843623,1272739,734940,537799,579229,476933,102296,43437,87700,382981,470681
89,HARYANA,Palwal,1042708,554497,488211,599796,379696,220100,309563,241464,68099,4283,186069,63090,249159
90,NCT OF DELHI,North West,3656539,1960922,1695617,2707855,1541952,1165903,1188545,1022419,166126,114044,67592,959275,1026867
91,NCT OF DELHI,North,887978,475002,412976,681517,381615,299902,296446,257575,38871,21418,4512,296559,301071
92,NCT OF DELHI,North East,2241624,1188425,1053199,1611588,912481,699107,661386,594353,67033,30390,5326,482255,487581
93,NCT OF DELHI,East,1709346,907500,801846,1352998,748382,604616,579692,486951,92741,80037,1086,461132,462218
94,NCT OF DELHI,New Delhi,142004,77942,64062,114179,65678,48501,59541,46940,12601,7366,0,52664,52664
95,NCT OF DELHI,Central,582320,307821,274499,442360,240518,201842,207374,177621,29753,19724,0,194897,194897
96,NCT OF DELHI,West,2543243,1356240,1187003,1961179,1093933,867246,874320,732598,141722,109666,1809,699703,701512
