Column1,State,Area,Sex,Literacy Rate
1,HIMACHAL PRADESH,Rural,Male,55.09
2,PUNJAB,Rural,Male,62.42
3,CHANDIGARH #,Rural,Male,52.17
4,UTTARAKHAND,Rural,Male,51.21
5,HARYANA,Rural,Male,60.43
6,NCT OF DELHI #,Rural,Male,55.34
7,RAJASTHAN,Rural,Male,55.93
8,UTTAR PRADESH,Rural,Male,64.69
9,BIHAR,Rural,Male,50.55
10,SIKKIM,Rural,Male,33.97
11,ARUNACHAL PRADESH,Rural,Male,75.21
12,NAGALAND,Rural,Male,59.19
13,MANIPUR ,Rural,Male,50.28
14,MIZORAM,Rural,Male,54.54
15,TRIPURA,Rural,Male,42.78
16,MEGHALAYA,Rural,Male,51.81
17,ASSAM,Rural,Male,65.73
18,WEST BENGAL,Rural,Male,49.97
19,JHARKHAND,Rural,Male,69.21
20,ORISSA,Rural,Male,56.81
21,CHHATTISGARH,Rural,Male,70.24
22,MADHYA PRADESH,Rural,Male,71.22
23,GUJARAT,Rural,Male,60.75
24,DAMAN & DIU #,Rural,Male,52.49
25,DADRA & NAGAR HAVELI #,Rural,Male,51.98
26,MAHARASHTRA,Rural,Male,71.66
27,ANDHRA PRADESH,Rural,Male,33.38
28,KARNATAKA,Rural,Male,61.63
29,GOA,Rural,Male,47.81
30,LAKSHADWEEP #,Rural,Male,53.45
31,KERALA,Rural,Male,63.66
32,TAMIL NADU,Rural,Male,74.28
33,PUDUCHERRY #,Rural,Male,58.36
34,A & N ISLANDS #,Rural,Male,61.51
1,HIMACHAL PRADESH,Rural,Female,23.54
2,PUNJAB,Rural,Female,31.8
3,CHANDIGARH #,Rural,Female,28.69
4,UTTARAKHAND,Rural,Female,43.1
5,HARYANA,Rural,Female,46.09
6,NCT OF DELHI #,Rural,Female,32.85
7,RAJASTHAN,Rural,Female,25.16
8,UTTAR PRADESH,Rural,Female,48.06
9,BIHAR,Rural,Female,43.54
10,SIKKIM,Rural,Female,35.49
11,ARUNACHAL PRADESH,Rural,Female,24.97
12,NAGALAND,Rural,Female,26.37
13,MANIPUR ,Rural,Female,32.02
14,MIZORAM,Rural,Female,34.03
15,TRIPURA,Rural,Female,28.67
16,MEGHALAYA,Rural,Female,27.75
17,ASSAM,Rural,Female,29.71
18,WEST BENGAL,Rural,Female,35.34
19,JHARKHAND,Rural,Female,12.38
20,ORISSA,Rural,Female,33.16
21,CHHATTISGARH,Rural,Female,36.45
22,MADHYA PRADESH,Rural,Female,19.01
23,GUJARAT,Rural,Female,28.45
24,DAMAN & DIU #,Rural,Female,27.63
25,DADRA & NAGAR HAVELI #,Rural,Female,44.58
26,MAHARASHTRA,Rural,Female,41.65
27,ANDHRA PRADESH,Rural,Female,26.1
28,KARNATAKA,Rural,Female,38.18
29,GOA,Rural,Female,32.04
30,LAKSHADWEEP #,Rural,Female,34.63
31,KERALA,Rural,Female,29.11
32,TAMIL NADU,Rural,Female,35.9
33,PUDUCHERRY #,Rural,Female,29.37
34,A & N ISLANDS #,Rural,Female,24.31
1,HIMACHAL PRADESH,Urban,Male,88.14
2,PUNJAB,Urban,Male,82.31
3,CHANDIGARH #,Urban,Male,80.63
4,UTTARAKHAND,Urban,Male,78.52
5,HARYANA,Urban,Male,77.21
6,NCT OF DELHI #,Urban,Male,91.2
7,RAJASTHAN,Urban,Male,81.85
8,UTTAR PRADESH,Urban,Male,82.85
9,BIHAR,Urban,Male,73.4
10,SIKKIM,Urban,Male,90.66
11,ARUNACHAL PRADESH,Urban,Male,84.34
12,NAGALAND,Urban,Male,82.17
13,MANIPUR ,Urban,Male,75.63
14,MIZORAM,Urban,Male,80.28
15,TRIPURA,Urban,Male,82.52
16,MEGHALAYA,Urban,Male,86.7
17,ASSAM,Urban,Male,76.58
18,WEST BENGAL,Urban,Male,83.13
19,JHARKHAND,Urban,Male,74.35
20,ORISSA,Urban,Male,79.97
21,CHHATTISGARH,Urban,Male,83.28
22,MADHYA PRADESH,Urban,Male,83.09
23,GUJARAT,Urban,Male,81.26
24,DAMAN & DIU #,Urban,Male,74.65
25,DADRA & NAGAR HAVELI #,Urban,Male,72.95
26,MAHARASHTRA,Urban,Male,76.49
27,ANDHRA PRADESH,Urban,Male,82.22
28,KARNATAKA,Urban,Male,81.16
29,GOA,Urban,Male,85.05
30,LAKSHADWEEP #,Urban,Male,87.33
31,KERALA,Urban,Male,80.52
32,TAMIL NADU,Urban,Male,76.49
33,PUDUCHERRY #,Urban,Male,72.62
34,A & N ISLANDS #,Urban,Male,71.46
1,HIMACHAL PRADESH,Urban,Female,59.46
2,PUNJAB,Urban,Female,62.57
3,CHANDIGARH #,Urban,Female,73.94
4,UTTARAKHAND,Urban,Female,68.22
5,HARYANA,Urban,Female,55.21
6,NCT OF DELHI #,Urban,Female,69.34
