Column1,State,Area,Sex,Literacy Rate
01,JAMMU & KASHMIR,Rural,Female,53.36
02,HIMACHAL PRADESH,Rural,Female,75.33
03,PUNJAB,Rural,Female,66.47
04,CHANDIGARH #,Rural,Female,74.17
05,UTTARAKHAND,Rural,Female,66.79
06,HARYANA,Rural,Female,60.97
07,NCT OF DELHI #,Rural,Female,74.03
08,RAJASTHAN,Rural,Female,46.25
09,UTTAR PRADESH,Rural,Female,55.61
10,BIHAR,Rural,Female,50.82
11,SIKKIM,Rural,Female,73.42
12,ARUNACHAL PRADESH,Rural,Female,53.78
13,NAGALAND,Rural,Female,72.01
14,MANIPUR ,Rural,Female,69.95
15,MIZORAM,Rural,Female,80.04
16,TRIPURA,Rural,Female,80.06
17,MEGHALAYA,Rural,Female,69.45
18,ASSAM,Rural,Female,64.09
19,WEST BENGAL,Rural,Female,66.08
20,JHARKHAND,Rural,Female,49.75
21,ORISSA,Rural,Female,61.10
22,CHHATTISGARH,Rural,Female,55.40
23,MADHYA PRADESH,Rural,Female,53.20
24,GUJARAT,Rural,Female,62.41
25,DAMAN & DIU #,Rural,Female,71.97
26,DADRA & NAGAR HAVELI #,Rural,Female,51.36
27,MAHARASHTRA,Rural,Female,67.38
28,ANDHRA PRADESH,Rural,Female,52.05
29,KARNATAKA,Rural,Female,59.60
30,GOA,Rural,Female,76.84
31,LAKSHADWEEP #,Rural,Female,88.66
32,KERALA,Rural,Female,90.74
33,TAMIL NADU,Rural,Female,65.52
34,PUDUCHERRY #,Rural,Female,73.82
35,A & N ISLANDS #,Rural,Female,79.58
01,JAMMU & KASHMIR,Urban,Female,70.19
02,HIMACHAL PRADESH,Urban,Female,88.66
03,PUNJAB,Urban,Female,79.62
04,CHANDIGARH #,Urban,Female,81.55
05,UTTARAKHAND,Urban,Female,80.02
06,HARYANA,Urban,Female,77.51
07,NCT OF DELHI #,Urban,Female,81.10
08,RAJASTHAN,Urban,Female,71.53
09,UTTAR PRADESH,Urban,Female,71.68
10,BIHAR,Urban,Female,72.36
11,SIKKIM,Urban,Female,85.19
12,ARUNACHAL PRADESH,Urban,Female,79.04
13,NAGALAND,Urban,Female,88.10
14,MANIPUR ,Urban,Female,80.21
15,MIZORAM,Urban,Female,97.54
16,TRIPURA,Urban,Female,91.38
17,MEGHALAYA,Urban,Female,89.49
18,ASSAM,Urban,Female,85.71
19,WEST BENGAL,Urban,Female,81.70
20,JHARKHAND,Urban,Female,76.17
21,ORISSA,Urban,Female,80.70
22,CHHATTISGARH,Urban,Female,77.65
23,MADHYA PRADESH,Urban,Female,77.39
24,GUJARAT,Urban,Female,82.08
25,DAMAN & DIU #,Urban,Female,82.94
26,DADRA & NAGAR HAVELI #,Urban,Female,84.86
27,MAHARASHTRA,Urban,Female,85.44
28,ANDHRA PRADESH,Urban,Female,75.02
29,KARNATAKA,Urban,Female,81.71
30,GOA,Urban,Female,84.96
31,LAKSHADWEEP #,Urban,Female,88.13
32,KERALA,Urban,Female,93.33
33,TAMIL NADU,Urban,Female,82.67
34,PUDUCHERRY #,Urban,Female,84.60
35,A & N ISLANDS #,Urban,Female,85.79
01,JAMMU & KASHMIR,Rural,Male,75.51
02,HIMACHAL PRADESH,Rural,Male,90.48
03,PUNJAB,Rural,Male,77.92
04,CHANDIGARH #,Rural,Male,86.68
05,UTTARAKHAND,Rural,Male,87.63
06,HARYANA,Rural,Male,83.20
07,NCT OF DELHI #,Rural,Male,90.04
08,RAJASTHAN,Rural,Male,77.49
09,UTTAR PRADESH,Rural,Male,78.48
10,BIHAR,Rural,Male,71.90
11,SIKKIM,Rural,Male,85.42
12,ARUNACHAL PRADESH,Rural,Male,68.79
13,NAGALAND,Rural,Male,79.49
14,MANIPUR ,Rural,Male,84.14
15,MIZORAM,Rural,Male,88.35
16,TRIPURA,Rural,Male,90.86
17,MEGHALAYA,Rural,Male,72.83
18,ASSAM,Rural,Male,76.51
19,WEST BENGAL,Rural,Male,79.51
20,JHARKHAND,Rural,Male,74.57
21,ORISSA,Rural,Male,80.41
22,CHHATTISGARH,Rural,Male,78.20
23,MADHYA PRADESH,Rural,Male,76.64
24,GUJARAT,Rural,Male,83.10
25,DAMAN & DIU #,Rural,Male,89.71
26,DADRA & NAGAR HAVELI #,Rural,Male,78.18
27,MAHARASHTRA,Rural,Male,86.39
28,ANDHRA PRADESH,Rural,Male,70.24
29,KARNATAKA,Rural,Male,77.92
30,GOA,Rural,Male,91.71
31,LAKSHADWEEP #,Rural,Male,95.06
32,KERALA,Rural,Male,95.29
33,TAMIL NADU,Rural,Male,82.08
34,PUDUCHERRY #,Rural,Male,88.49
35,A & N ISLANDS #,Rural,Male,88.53
01,JAMMU & KASHMIR,Urban,Male,84.90
02,HIMACHAL PRADESH,Urban,Male,93.72
03,PUNJAB,Urban,Male,87.28
04,CHANDIGARH #,Urban,Male,90.65
05,UTTARAKHAND,Urban,Male,89.78
06,HARYANA,Urban,Male,89.37
07,NCT OF DELHI #,Urban,Male,91.05
08,RAJASTHAN,Urban,Male,89.16
09,UTTAR PRADESH,Urban,Male,81.75
10,BIHAR,Urban,Male,84.42
11,SIKKIM,Urban,Male,92.94
12,ARUNACHAL PRADESH,Urban,Male,89.45
13,NAGALAND,Urban,Male,92.11
14,MANIPUR ,Urban,Male,92.05
15,MIZORAM,Urban,Male,98.67
16,TRIPURA,Urban,Male,95.80
17,MEGHALAYA,Urban,Male,93.17
18,ASSAM,Urban,Male,91.84
19,WEST BENGAL,Urban,Male,89.15
20,JHARKHAND,Urban,Male,89.78
21,ORISSA,Urban,Male,91.83
22,CHHATTISGARH,Urban,Male,91.63
23,MADHYA PRADESH,Urban,Male,90.24
24,GUJARAT,Urban,Male,92.44
25,DAMAN & DIU #,Urban,Male,91.95
26,DADRA & NAGAR HAVELI #,Urban,Male,94.81
27,MAHARASHTRA,Urban,Male,93.79
28,ANDHRA PRADESH,Urban,Male,85.99
29,KARNATAKA,Urban,Male,90.54
30,GOA,Urban,Male,93.47
31,LAKSHADWEEP #,Urban,Male,96.40
32,KERALA,Urban,Male,96.83
33,TAMIL NADU,Urban,Male,91.82
34,PUDUCHERRY #,Urban,Male,93.80
35,A & N ISLANDS #,Urban,Male,92.96
